Partei_kurz:;"Grüne"
Partei_lang:;"Bündnis90 / Die Grünen Göttingen"
Partei_Beschreibung:;""
Partei_URL:;"https://www.gruene-goettingen.de/"
Partei_Bild:;"data/gruene_387x88.png"
1;"Wir wollen ein Göttingen, dass die Klimaneutral ..."
1;"Für uns hat die schnellstmögliche Eindämmung de ..."
1;"Um effektiv mehr Platz für nachhaltige Fortbewe ..."
-1;"Die Verdichtung des Busverkehrs in Göttingen i ..."
1;"Wir GRÜNE stehen für einen maximalen Ausbau Ern ..."
1;"Eine Veröffentlichung der Emissionswerte der In ..."
1;"Eine Versiegelung in Schutzgebieten lehnen wir  ..."
1;""
1;""
1;""
1;""
0;"Göttingen ist einzige Stadt in Niedersachsen, d ..."
1;"Göttingen ist einzige Stadt in Niedersachsen, d ..."
#
Partei_kurz:;"BfnS"
Partei_lang:;"Bündnis für nachhaltige Stadtentwick ..."
Partei_Beschreibung:;""
Partei_URL:;"https://bfns-goettingen.de/ "
Partei_Bild:;"data/bfns-logo-768x154.png"
-1;" Das Bündnis für nachhaltige Stadtentwicklung  ..."
1;" Maßnahmen der vergangenen Legislaturperiode 1. ..."
1;"Das Wort Modal Split (Punkt C) ist in Göttingen ..."
-1;"Aktuell fahren 95 Stadtbusse, maximal möglich  ..."
1;"E: Nicht wir appellieren an die Bürger, sondern ..."
1;"Der kommunale Handlungsspielraum ist auf diesem ..."
1;" Maßnahmen der vergangenen Legislaturperiode 1. ..."
1;" Maßnahmen der kommenden Legislaturperiode 1. U ..."
1;" Maßnahmen der kommenden Legislaturperiode 1. U ..."
1;" Maßnahmen der kommenden Legislaturperiode 1. U ..."
1;" Maßnahmen der kommenden Legislaturperiode 1. U ..."
1;"Wir treten erstmalig an und haben bislang keine ..."
1;"Wir treten erstmalig an und haben bislang keine ..."
#
Partei_kurz:;"CDU"
Partei_lang:;"Christlich Demokratische Union Deuts ..."
Partei_Beschreibung:;""
Partei_URL:;"https://www.cdu-goettingen.de/"
Partei_Bild:;"data/cdu_goe_300x70.png"
-1;" Wir wollen die bundesweite Planung für das Ja ..."
0;"Klimaschutz gibt es nicht zum Nulltarif. Maßnah ..."
0;"Ein zukunftsfähiges Verkehrsmanagement sowie al ..."
-1;"Mehr ÖPNV heißt Verbesserung der Erreichbarkei ..."
