Partei_kurz:;"Grüne"
Partei_lang:;"Bündnis90 / Die Grünen Göttingen"
Partei_Beschreibung:;""
Partei_URL:;"https://www.gruene-goettingen.de/"
Partei_Bild:;"data/gruene_387x88.png"
1;"Wir wollen ein Göttingen, dass die Klimaneutralität bis 2030 verfolgt - also so schnell wie es physisch möglich ist. Dieses Ziel können wir aber nur erreichen, wenn es auch auf Bundes- und Landesebene grundlegende Weichenstellungen gibt. Allgemein ist die schnellstmögliche Klimaneutralität Kern unseres Programms. Maßnahmen der vergangenen Legislaturperiode 1. Intersektorales Förderprogramm zur Umsetzung des Klimaplans Göttingen 2030. Siehe auch: Grüne: Anträge, Anfragen, Iinitiativen 2. Antra ..."
1;"Für uns hat die schnellstmögliche Eindämmung der Klimakrise oberste Priorität. Entsprechend muss auch alles getan werden, um regionalen Betrieben und Haushalten auf den Weg zur Klimaneutralität zu helfen. Zur selben Zeit treffen Klimafolgen gerade insbesondere Menschen außerhalb Göttingens - wir müssen uns auch für die am stärksten Betroffenen überall auf der Welt stark machen. Maßnahmen der vergangenen Legislaturperiode 1. Faire und nachhaltige Beschaffung für die Göttinger Verwaltung 2. Änd ..."
1;"Um effektiv mehr Platz für nachhaltige Fortbewegung, wie die per Fahrrad, zu schaffen, braucht es mehr autofreie Räume in der Stadt. Auch das zu Fuß gehen wird angenehmer, sobald weniger oder gar keine Autos mehr in der Nähe fahren. Carsharing muss als Dienst in der Verkehrsentwicklung mitgedacht werden und von der GöVB angeboten werden. Auch Menschen, die zum Beispiel gesundheitsbedingt auf ein Auto angewiesen sind müssen dabei bedacht werden. Maßnahmen der vergangenen Legislaturperiode 1. U ..."
-1;"Die Verdichtung des Busverkehrs in Göttingen ist aufgrund begrenzten Platzangebots des jetzigen Busbetriebshofs nur bedingt möglich. Für zukunftsfähigen ÖPNV als auch alternative Mobilitätskonzepte ist ein neuer Bau notwendig. Aufgrund des begrenzten Haushalts ist eine wesentliche Erhöhung der Förderung des ÖPNVs nicht ohne Verluste in anderen Bereichen möglich. Daher muss auf Unterstützung vonseiten der Landes- und Bundespolitik gesetzt werden. Maßnahmen der vergangenen Legislaturperiode 1. ..."
1;"Wir GRÜNE stehen für einen maximalen Ausbau Erneuerbarer Energien. Wir werden alles daran setzen Wind- und Solarenergie in unserer Kommune voranzutreiben. Insbesondere bei der Errichtung neuer Windenergieanlagen kommt es zu Konkurrenzsituationen mit Natur- und Landschaftsschutzgebieten, wodurch die Umsetzbarkeit von großen Mengen Windenergie auf dem Göttinger Stadtgebiet schwierig zu realisieren ist. Maßnahmen der vergangenen Legislaturperiode 1. Ratsantrag Göttingen soll Solarstadt werden 2. ..."
